# Assets the client requests that we cannot supply.
# Drop a PNG named <file> into <game>_Data/LooseArt/ and it is used.
#
# request	file	card name
AvatarItems/packs/AvatarCharizardPack	AvatarItems_packs_AvatarCharizardPack.png	
AvatarItems/packs/AvatarPikachuPack	AvatarItems_packs_AvatarPikachuPack.png	
BW1/bw1blueassault	BW1_bw1blueassault.png	
BW1/bw1greentornado	BW1_bw1greentornado.png	
BW1/bw1redfrenzy	BW1_bw1redfrenzy.png	
BW1/packs/BW1BlackWhite	BW1_packs_BW1BlackWhite.png	
BW1/packs/BW1BlackWhitePT	BW1_packs_BW1BlackWhitePT.png	
BW10/bw10mindwipe	BW10_bw10mindwipe.png	
BW10/bw10solarstrike	BW10_bw10solarstrike.png	
BW10/packs/BW10PlasmaBlast	BW10_packs_BW10PlasmaBlast.png	
BW10/packs/BW10PlasmaBlastPT	BW10_packs_BW10PlasmaBlastPT.png	
BW11/packs/BW11LegendaryTreasures	BW11_packs_BW11LegendaryTreasures.png	
BW2/bw2powerplay	BW2_bw2powerplay.png	
BW2/bw2toxictricks	BW2_bw2toxictricks.png	
BW2/packs/BW2EmergingPowers	BW2_packs_BW2EmergingPowers.png	
BW2/packs/BW2EmergingPowersPT	BW2_packs_BW2EmergingPowersPT.png	
BW3/bw3fastdaze	BW3_bw3fastdaze.png	
BW3/bw3furiousknights	BW3_bw3furiousknights.png	
BW3/packs/BW3NobleVictories	BW3_packs_BW3NobleVictories.png	
BW3/packs/BW3NobleVictoriesPT	BW3_packs_BW3NobleVictoriesPT.png	
BW4/bw4explosiveedge	BW4_bw4explosiveedge.png	
BW4/bw4voltagevortex	BW4_bw4voltagevortex.png	
BW4/packs/BW4NextDestinies	BW4_packs_BW4NextDestinies.png	
BW4/packs/BW4NextDestiniesPT	BW4_packs_BW4NextDestiniesPT.png	
BW5/bw5raiders	BW5_bw5raiders.png	
BW5/bw5shadows	BW5_bw5shadows.png	
BW5/packs/BW5DarkExplorers	BW5_packs_BW5DarkExplorers.png	
BW5/packs/BW5DarkExplorersPT	BW5_packs_BW5DarkExplorersPT.png	
BW6/bw6dragonsnarl	BW6_bw6dragonsnarl.png	
BW6/bw6dragonspeed	BW6_bw6dragonspeed.png	
BW6/packs/BW6DragonsExalted	BW6_packs_BW6DragonsExalted.png	
BW6/packs/BW6DragonsExaltedPT	BW6_packs_BW6DragonsExaltedPT.png	
BW7/bw7coldfire	BW7_bw7coldfire.png	
BW7/bw7iceshock	BW7_bw7iceshock.png	
